;C_ACC;CER;VER;EDIT_DIST;FEAT_DIST
1;46.19;25.51;28.20;4.89;2.82
2;46.14;25.53;28.23;4.90;2.82
3;46.10;25.57;28.23;4.91;2.82
4;46.08;25.58;28.24;4.91;2.83
5;45.99;25.66;28.25;4.91;2.84
6;45.99;25.66;28.24;4.92;2.84
7;45.99;25.63;28.27;4.92;2.84
8;46.05;25.66;28.18;4.92;2.85
9;46.24;25.45;28.20;4.90;2.87
10;46.57;25.31;28.01;4.90;2.90
11;46.33;25.37;28.19;4.91;2.89
12;46.17;25.34;28.39;4.93;2.92
13;46.34;25.19;28.36;4.92;2.93
14;50.37;22.57;26.95;4.62;2.69
15;48.59;24.56;26.74;4.89;2.87
16;50.80;22.36;26.73;4.71;2.72
