word,language,top_1_transformation,top_1_score,top_2_transformation,top_2_score
-abil,romanian,-abil,-3.9819802977546095,-avil,-4.236376392572923
-abl,french,-abl,-3.73830647881083,-apla,-3.9659143933412384
-abile,italian,-abile,-4.240983436426847,-abilea,-4.598696243998915
-aβle,spanish,-aβle,-5.262709036047458,,
-avɛl,portuguese,-avɛl,-4.397111200277196,,
-as,french,-as,-4.295167451956684,,
-atʃɛo,italian,-atʃɛo,-5.85499231048677,,
-aθeo,spanish,-aθeʊm,-4.509023144499985,-aθeʊmis,-5.093666811679126
-asʊ,portuguese,-asʊ,-4.204394898075602,,
-aje,romanian,-aje,-4.938364073155802,,
-aj,french,-aj,-4.072023900642474,-ali,-4.5274890087506385
-aʎa,italian,-aʎa,-4.142076970527383,-aʎaa,-5.244499876726119
-al,spanish,-al,-4.697729800406887,,
-aʎɐ,portuguese,-aʎɐ,-4.587387150331708,,
-an,romanian,-an,-3.8442399697717624,,
-ano,italian,-anʊm,-2.836554268074246,-anʊma,-3.697484484290575
-ano,spanish,-anʊm,-2.836554268074246,-anʊma,-3.697484484290575
-ɐ̃ʊ̃,portuguese,-ɐ̃ʊ̃,-6.141464547107982,,
-arka,italian,-arka,-2.3257286443082554,-arkaa,-3.1458368660043288
-aɾka,spanish,-aɾka,-2.038046571856474,,
-aɾəkɐ,portuguese,-aɾəkɐ,-2.90805020110221,,
-arkia,italian,-arkia,-2.1963877156524387,-arkiaa,-2.7550834131606043
-ɐɾəkiɐ,portuguese,-ɐɾəkiɐ,-2.5963877156524386,,
-ar,romanian,-ar,-5.348317366548037,,
-je,french,-liaa,-4.885224151087328,-liaɨʊm,-5.051437956404014
-eɾo,spanish,-eɾʊm,-4.462328599828039,-eɾʊma,-5.1343563201539935
-eɪɾʊ,portuguese,-eɪɾʊ,-5.024503119771675,,
-atek,romanian,-atek,-3.051432705255589,,
-atiko,italian,-atikʊm,-2.678319396948766,-atikʊma,-3.1587234534041824
-aθɣo,spanish,-aθɣʊm,-3.2511973816621555,-aθɣʊmʊm,-3.8212010109078904
-at,romanian,-at,-3.481334476082394,,
-a,french,-a,-5.342181562977721,,
-ato,italian,-atʊm,-3.5297014486341913,-atʊma,-4.533732508491194
-ato,spanish,-atʊm,-3.5297014486341913,-ato,-4.347495741716275
-atʊ,portuguese,-atʊ,-3.647379891840237,,
-sid,french,-sid,-2.275728644308255,,
-θiða,spanish,-θiða,-2.3257286443082554,,
-tʃidio,italian,-tʃidio,-2.8105744652136844,,
-θiðjo,spanish,-θiðjʊm,-2.2463877156524386,-θiðliʊm,-2.650932733333346
-kola,spanish,-kʊmla,-1.4594379124341004,-kola,-1.8077855527734008
-jel,romanian,-jel,-6.419968614080019,,
-o,french,-aʊʊm,-6.432968494516088,-aʊiʊm,-6.637119174343347
-ɛllo,italian,-ɛllo,-6.095126366185837,,
-elo,spanish,-elʊm,-5.4072760409519995,-elʊma,-6.321642205694914
-ɛlʊ,portuguese,-ɛlʊ,-5.5444998767261175,,
-ez,romanian,-ez,-6.552290170873972,,
-ɛ,french,-ɛ,-6.076233867378924,,
-ɛnse,italian,-ɛnsea,-5.287468270156914,-ɛnse,-5.440153050874399
-ɛnse,spanish,-ɛnse,-5.440153050874399,,
-eɪŋsɨ,portuguese,-eɪŋsɨ,-6.75835160472664,,
-eɪŋtʊ,portuguese,-eɪŋtʊ,-1.9635885922613585,,
-ɛsk,french,-ɛsk,-1.8094379124341002,,
-e,french,-aɨʊm,-3.7220733412816474,-aiʊm,-3.7220733412816474
-etto,italian,-eptʊm,-2.70639784144151,-ettʊm,-2.95639784144151
-ito,spanish,-itʊm,-3.2265151896464452,-itʊma,-3.334578990601206
-et,romanian,-et,-3.844239969771763,,
-eto,italian,-etʊm,-4.1428059215206,-etʊma,-4.8688320613004334
-edʊ,portuguese,-edʊ,-4.427538449389812,,
-ɛo,italian,-ɛʊm,-1.6925823589626383,-ɛoʊm,-2.207945608651872
-eo,spanish,-eʊm,-1.8551012884604132,-eʊma,-2.3639498571284534
-fitʃo,italian,-fitʃo,-1.8094379124341002,,
-forme,italian,-fʊmrme,-3.113451662831121,-fʊmrmea,-3.1832645623203
-foɾme,spanish,-fʊmɾme,-3.102869553500584,-foɾme,-3.336698644666032
-fɔɾəmɨ,portuguese,-fɔɾəmɨ,-3.443685576039642,,
-ibil,romanian,-ivil,-4.054054835778969,-ibil,-4.428267400383029
-ibl,french,-ibl,-4.068548165681407,-ifla,-4.390386318536571
-evole,italian,-evʊmle,-5.1523148775559156,-evole,-5.178410146801518
-iβle,spanish,-iβle,-5.189377762961909,,
-ivɛl,portuguese,-ivɛl,-4.022417750835786,,
-ik,romanian,-ik,-2.522484129789443,-lik,-5.580638923341991
-ik,french,-ik,-2.522484129789443,,
-iko,italian,-ikʊm,-2.6542327112802915,-ikʊma,-3.697484484290575
-iko,spanish,-ikʊm,-2.6542327112802915,-iko,-3.5112477175156567
-ikʊ,portuguese,-ikʊ,-2.7310891599660816,,
-ifitʃo,italian,-ifitʃo,-1.8594379124341003,,
-ifje,french,-iflia,-1.9025850929940455,-ifja,-2.1025850929940457
-ifikare,italian,-ifikarea,-2.6435116799646385,-iflkarea,-2.6811937524164198
-il,romanian,-il,-1.9471199848858811,-lil,-3.213515309210374
-il,french,-il,-1.9471199848858811,,
-ile,italian,-ile,-3.018771232417863,-ilea,-3.5297014486341913
-il,spanish,-il,-1.9471199848858811,,
-iʎo,spanish,-iʎʊm,-1.4094379124341003,-iʎʊma,-1.68258146374831
-in,romanian,-in,-2.9279492378976073,-lin,-5.580638923341991
-in,french,-in,-2.9279492378976073,,
-ino,italian,-inʊm,-2.9419147837320727,-inʊma,-3.9851665567423558
-ino,spanish,-inʊm,-2.9419147837320727,-ino,-3.8859411669570676
-iɲʊ,portuguese,-iɲʊ,-4.291406275065231,,
-io,spanish,-iʊm,-1.3594379124341003,-iʊma,-1.6971199848858811
-esk,romanian,-esk,-4.810530701645918,,
-wa,french,-wa,-6.0246089936365195,,
-sko,spanish,-skʊm,-4.851457288616511,-skʊma,-5.6715655103125835
-iʃkʊ,portuguese,-iʃkʊ,-5.083674252960128,,
-im,french,-im,-3.8930301339411946,,
-issimo,italian,-iximʊm,-2.8755295662364713,-issimʊm,-2.9820999177248657
-isimo,spanish,-isimʊm,-2.6650371324758204,-isimʊma,-3.250913505872264
-isimʊ,portuguese,-isimʊ,-2.963109978285237,,
-ist,french,-ist,-2.4165506388285105,,
-ista,italian,-ista,-1.8934070875143008,-istaa,-2.672693314690119
-ista,spanish,-ista,-1.8934070875143008,,
-iʃtɐ,portuguese,-iʃtɐ,-3.2919147837320724,,
-itate,romanian,-itate,-3.7147546645241603,-litate,-5.18452495484044
-ita,italian,-itaid,-4.807884728710726,-itaɨd,-4.947646671085885
-eðad,spanish,-eðad,-4.1160832822780895,,
-idadɨ,portuguese,-idadɨ,-3.435894830037795,,
-it,french,-pta,-1.3971199848858813,-cta,-1.3971199848858813
-itsje,romanian,-itsje,-4.081375040249087,-litsje,-5.21226170981204
-es,french,-es,-4.366572888208367,-as,-4.963432966139893
-itsia,italian,-itsia,-3.34926970601121,-itsiaa,-3.9677675203336635
-iθja,spanish,-iθja,-4.086716454869557,-iθlia,-4.637491742782046
-iw,romanian,-iw,-4.1443445622221,-liw,-6.784611727667927
-if,french,-if,-3.9537242026134507,,
-ivo,italian,-ivʊm,-3.6350619642920177,-ivʊma,-4.656334830583526
