true_form	predicted_form	edit_distance	normalized_edit_distance	correct_chars	consonant_errors	vowel_errors	phonotactic_valid	char_error_rate	feature_distance	normalized_feature_distance	exact_match
-abɪlɛm	abl	4	0.5714285714285714	3	1	2	True	0.42857142857142855	4	0.11428571428571428	0
-akɛʊm	atʃeo	5	0.8333333333333334	1	2	2	True	0.6666666666666666	3.65	0.12166666666666666	0
-alɛm	aʎ	4	0.8	1	2	1	True	0.6	3.4	0.136	0
-anʊm	an	3	0.6	2	1	1	True	0.4	3	0.12	0
-arkʰam	aɾka	4	0.5714285714285714	3	3	0	True	0.42857142857142855	4.0	0.11428571428571428	0
-arkʰɪam	arkia	4	0.5	4	2	1	True	0.375	3.0	0.075	0
-arɪʊm	je	6	1.0	0	2	3	True	0.8333333333333334	4.5	0.15	0
-atɪkʊm	atig	5	0.7142857142857143	2	2	2	True	0.5714285714285714	3.25	0.09285714285714286	0
-atʊm	at	3	0.6	2	1	1	True	0.4	3	0.12	0
-kidam	zid	4	0.6666666666666666	2	2	1	True	0.5	3.75	0.125	0
-kidɪʊm	ðʃiʤo	6	0.8571428571428571	1	3	2	True	0.8571428571428571	4.2	0.12000000000000001	0
-kɔlam	kola	3	0.5	3	1	1	True	0.3333333333333333	2.0	0.06666666666666667	0
-ɛllʊm	jel	5	0.8333333333333334	1	2	2	True	0.6666666666666666	3.95	0.13166666666666668	0
-ensɛm	ense	3	0.5	3	1	1	True	0.3333333333333333	2.2	0.07333333333333333	0
-ɛntʊm	eɪŋdʊ	5	0.8333333333333334	1	3	1	True	0.8333333333333334	2.95	0.09833333333333334	0
-eskɛrɛ	esɣ	5	0.7142857142857143	2	2	2	True	0.5714285714285714	4.5	0.12857142857142856	0
-ɛttʊm	i	6	1.0	0	3	2	True	0.8333333333333334	5.2	0.17333333333333334	0
-etʊm	eto	3	0.6	2	1	1	True	0.4	2.2	0.08800000000000001	0
