final_proposed_protoform	ROMANIAN	FRENCH	ITALIAN	SPANISH	PORTUGUESE	LATIN-CORRECT
avɛl	-abil	-abl	-abile	-aβle	-avɛl	-abɪlɛm
atʃeo	-	-as	-atʃɛo	-aθeo	-asʊ	-akɛʊm
aje	-aje	-aj	-aʎa	-al	-aʎɐ	-alɛm
an	-an	-	-ano	-ano	-ɐ̃ʊ̃	-anʊm
arka	-	-	-arka	-aɾka	-aɾəkɐ	-arkʰam
arkia	-	-	-arkia	-	-ɐɾəkiɐ	-arkʰɪam
ar	-ar	-je	-	-eɾo	-eɪɾʊ	-arɪʊm
adek	-atek	-	-atiko	-aθɣo	-	-atɪkʊm
at	-at	-a	-ato	-ato	-atʊ	-atʊm
zid	-	-sid	-	-θiða	-	-kidam
θiðjo	-	-	-tʃidio	-θiðjo	-	-kidɪʊm
ɣola	-	-	-	-kola	-	-kɔlam
ɛ	-jel	-o	-ɛllo	-elo	-ɛlʊ	-ɛllʊm
ez	-ez	-ɛ	-ɛnse	-ɛnse	-eɪŋsɨ	-ensɛm
eɪŋdʊ	-	-	-	-	-eɪŋtʊ	-ɛntʊm
esɣ	-	-ɛsk	-	-	-	-eskɛrɛ
etto	-	-e	-etto	-ito	-	-ɛttʊm
et	-et	-ɛ	-eto	-	-edʊ	-etʊm
ɛo	-	-	-ɛo	-eo	-	-ɛʊm
fidʃo	-	-	-fitʃo	-	-	-fɪkɪʊm
forme	-	-	-forme	-foɾme	-fɔɾəmɨ	-formɛm
ibil	-ibil	-ibl	-evole	-iβle	-ivɛl	-ɪbɪlɛm
iko	-ik	-ik	-iko	-iko	-ikʊ	-ɪkʊm
ifidʃo	-	-	-ifitʃo	-	-	-ɪfɪkɪʊm
ifikare	-	-ifje	-ifikare	-	-	-ɪfɪkarɛ
il	-il	-il	-ile	-il	-	-ɪlɛm
iʎo	-	-	-	-iʎo	-	-ɪllʊm
in	-in	-in	-ino	-ino	-iɲʊ	-inʊm
io	-	-	-	-io	-	-jonɛm
esk	-esk	-wa	-	-sko	-iʃkʊ	-ɪskʊm
izzimo	-	-im	-issimo	-isimo	-isimʊ	-ɪssɪmʊm
ist	-	-ist	-ista	-ista	-iʃtɐ	-ɪstam
idade	-itate	-	-ita	-eðad	-idadɨ	-ɪtatɛm
it	-	-it	-	-	-	-iten
itsia	-itsje	-es	-itsia	-iθja	-	-ɪtɪam
ivʊ	-iw	-if	-ivo	-iβo	-ivʊ	-iwʊm
mento	-mɨnt	-mɑ̃	-mento	-mɛnto	-meɪŋtʊ	-mɛntʊm
olo	-or	-œl	-olo	-welo	-ɔlɐ	-ɔlʊm
œʁ	-	-œʁ	-	-	-	-orɛm
os	-os	-ø	-ozo	-oso	-ozʊ	-osʊm
ita	-tate	-te	-ita	-dad	-dadɨ	-tatɛm
tsjune	-tsjune	-sjɔ̃	-tsione	-θjon	-sɐ̃ʊ̃	-tɪonɛm
ðoɾ	-tor	-tœʁ	-tore	-doɾ	-doɹ	-torɛm
tor	-tor	-waʁ	-tojo	-toɾjo	-tɔɾjʊ	-torɪʊm
ðʁis	-	-tʁis	-tritʃe	-tɾiθ	-tɹiʃ	-trikɛm
iduʤne	-itudʲine	-	-itudine	-	-	-tudɪnɛm
ðura	-tuɾə	-tyʁ	-tura	-duɾa	-	-turam
elo	-	-	-olo	-welo	-	-ʊlʊm
ɔ	-	-ø	-ɔː	-o	-	-ʊm
vor	-	-vɔʁ	-vɔro	-	-	-wɔrʊm
abbatʃinare	-	-	abbatʃinare	-	-	abakɪnarɛ
ɐβɐdoɹ	-	-	-	-	ɐbɐtoɹ	abaktorɛm
ɐbaɣulʊ	-	abakyl	-	-	ɐbakulʊ	abakʊlʊm
ɐβɐliɨnɐzɐʊ	-	abaljenasjɔ̃	abalienatsione	-	ɐbɐliɨnɐsɐ̃ʊ̃	abalɪenatɪonɛm
abalienare	-	abaljene	abalienare	-	ɐbɐliɨnaɹ	abalɪenarɛ
abalieta	-	-	abalieta	-	-	abalɪɛtatɛm
abatsje	abatsje	abaj	abbatsia	aβaðia	ɐbɐdiɐ	abbatɪam
abazjal	abatsjal	abasjal	-	aβaθjal	ɐbɐsiɑl	abbatɪalɛm
abʁevjazjo	-	abʁevjasjɔ̃	abbrevjatsione	aβɾeβjaθjon	ɐbɹɨviɐsɐ̃ʊ̃	abbrɛwɪatɪonɛm
aββrevjare	-	abʁevje	abbrevjare	aβɾeβjaɾ	ɐbɹɨviaɹ	abbrɛwɪarɛ
ɐβzizɐʊ	-	-	-	-	ɐbsizɐ̃ʊ̃	abkɪsɪonɛm
abdomen	abdomen	abdomɛn	addɔme	abðomen	ɐbdɔmeɪŋ	abdomɛn
ɐβðuziɹ	abdutʃe	-	-	abðuθiɾ	ɐbduziɹ	abdukɛrɛ
abdutsione	-	abdyksjɔ̃	abdutsione	abðukθjon	ɐbdusɐ̃ʊ̃	abdʊktɪonɛm
ɐβɨzɨdaɾjʊ	-	-	-	-	ɐbɨsɨdaɾjʊ	abɛkɛdarɪʊm
alunə	alunə	avlin	-	aβeʎana	ɐvɨlɐ̃	abɛllanam
aberrare	-	abɛʁe	aberrare	aβeraɾ	ɐbɨʁaɹ	abɛrrarɛ
aboʁe	boɾɨ	aboʁe	aborrire	aβuriɾ	ɐvuʁiɹ	abhɔrrerɛ
abjettare	-	-	abjettare	aβjektaɾ	ɐbʒɨtaɹ	abɪkɛrɛ
aβjeɣθjon	-	-	-	aβjekθjon	ɐbʒɨsɐ̃ʊ̃	abɪɛktɪonɛm
abede	-	abi	abete	aβeto	ɐbɛtʊ	abɪetɛm
abiðʒeato	-	-	abidʒeato	aβixeato	ɐbiʒiatʊ	abɪɡɛatʊm
aβixeo	-	-	-	aβixeo	ɐbiʒiʊ	abɪɡɛʊm
ɐβʒuʤɣaɹ	-	-	-	-	ɐbʒudikaɹ	abɪudɪkarɛ
ɐβʒuŋʒiɹ	-	-	-	-	ɐbʒũŋʒiɹ	abɪʊŋɡɛrɛ
abʒyʁazjo	-	abʒyʁasjɔ̃	-	aβxuɾaθjon	ɐbʒuɾɐsɐ̃ʊ̃	abɪuratɪonɛm
ɐβʒuɾəɡaɹ	-	-	-	-	ɐbʒuɾəɡaɹ	abɪurɡarɛ
abjurare	-	abʒyʁe	abjurare	aβxuɾaɾ	ɐbʒuɾaɹ	abɪurarɛ
ɐblɐðɐzɐʊ	-	ablaktasjɔ̃	-	-	ɐblɐtɐsɐ̃ʊ̃	ablaktatɪonɛm
aβlaktaɾ	-	-	-	aβlaktaɾ	ɐblɐtaɹ	ablaktarɛ
ɐblɐɣeɐzɐʊ	-	-	ablakweatsione	aβlakeaθjon	ɐblɐkeɐsɐ̃ʊ̃	ablakwɛatɪonɛm
ɐβlɐdoɹ	-	-	-	-	ɐblɐtoɹ	ablatorɛm
ɐβlɨɡɐzɐʊ	-	-	ableɡatsione	-	ɐblɨɡɐsɐ̃ʊ̃	ableɡatɪonɛm
