ROMANIAN	FRENCH	ITALIAN	SPANISH	PORTUGUESE	LATIN-CORRECT
-abil	-abl	-abile	-aβle	-avɛl	-abɪlɛm
-	-as	-atʃɛo	-aθeo	-asʊ	-akɛʊm
-aje	-aj	-aʎa	-al	-aʎɐ	-alɛm
-an	-	-ano	-ano	-ɐ̃ʊ̃	-anʊm
-	-	-arka	-aɾka	-aɾəkɐ	-arkʰam
-	-	-arkia	-	-ɐɾəkiɐ	-arkʰɪam
-ar	-je	-	-eɾo	-eɪɾʊ	-arɪʊm
-atek	-	-atiko	-aθɣo	-	-atɪkʊm
-at	-a	-ato	-ato	-atʊ	-atʊm
-	-sid	-	-θiða	-	-kidam
-	-	-tʃidio	-θiðjo	-	-kidɪʊm
-	-	-	-kola	-	-kɔlam
-jel	-o	-ɛllo	-elo	-ɛlʊ	-ɛllʊm
-ez	-ɛ	-ɛnse	-ɛnse	-eɪŋsɨ	-ensɛm
-	-	-	-	-eɪŋtʊ	-ɛntʊm
-	-ɛsk	-	-	-	-eskɛrɛ
-	-e	-etto	-ito	-	-ɛttʊm
-et	-ɛ	-eto	-	-edʊ	-etʊm
-	-	-ɛo	-eo	-	-ɛʊm
-	-	-fitʃo	-	-	-fɪkɪʊm
-	-	-forme	-foɾme	-fɔɾəmɨ	-formɛm
-ibil	-ibl	-evole	-iβle	-ivɛl	-ɪbɪlɛm
-ik	-ik	-iko	-iko	-ikʊ	-ɪkʊm
-	-	-ifitʃo	-	-	-ɪfɪkɪʊm
-	-ifje	-ifikare	-	-	-ɪfɪkarɛ
-il	-il	-ile	-il	-	-ɪlɛm
-	-	-	-iʎo	-	-ɪllʊm
-in	-in	-ino	-ino	-iɲʊ	-inʊm
-	-	-	-io	-	-jonɛm
-esk	-wa	-	-sko	-iʃkʊ	-ɪskʊm
-	-im	-issimo	-isimo	-isimʊ	-ɪssɪmʊm
-	-ist	-ista	-ista	-iʃtɐ	-ɪstam
-itate	-	-ita	-eðad	-idadɨ	-ɪtatɛm
-	-it	-	-	-	-iten
-itsje	-es	-itsia	-iθja	-	-ɪtɪam
-iw	-if	-ivo	-iβo	-ivʊ	-iwʊm
-mɨnt	-mɑ̃	-mento	-mɛnto	-meɪŋtʊ	-mɛntʊm
-or	-œl	-olo	-welo	-ɔlɐ	-ɔlʊm
-	-œʁ	-	-	-	-orɛm
-os	-ø	-ozo	-oso	-ozʊ	-osʊm
-tate	-te	-ita	-dad	-dadɨ	-tatɛm
-tsjune	-sjɔ̃	-tsione	-θjon	-sɐ̃ʊ̃	-tɪonɛm
-tor	-tœʁ	-tore	-doɾ	-doɹ	-torɛm
-tor	-waʁ	-tojo	-toɾjo	-tɔɾjʊ	-torɪʊm
-	-tʁis	-tritʃe	-tɾiθ	-tɹiʃ	-trikɛm
-itudʲine	-	-itudine	-	-	-tudɪnɛm
-tuɾə	-tyʁ	-tura	-duɾa	-	-turam
-	-	-olo	-welo	-	-ʊlʊm
-	-ø	-ɔː	-o	-	-ʊm
-	-vɔʁ	-vɔro	-	-	-wɔrʊm
-	-	abbatʃinare	-	-	abakɪnarɛ
-	-	-	-	ɐbɐtoɹ	abaktorɛm
-	abakyl	-	-	ɐbakulʊ	abakʊlʊm
-	abaljenasjɔ̃	abalienatsione	-	ɐbɐliɨnɐsɐ̃ʊ̃	abalɪenatɪonɛm
-	abaljene	abalienare	-	ɐbɐliɨnaɹ	abalɪenarɛ
-	-	abalieta	-	-	abalɪɛtatɛm
abatsje	abaj	abbatsia	aβaðia	ɐbɐdiɐ	abbatɪam
abatsjal	abasjal	-	aβaθjal	ɐbɐsiɑl	abbatɪalɛm
-	abʁevjasjɔ̃	abbrevjatsione	aβɾeβjaθjon	ɐbɹɨviɐsɐ̃ʊ̃	abbrɛwɪatɪonɛm
-	abʁevje	abbrevjare	aβɾeβjaɾ	ɐbɹɨviaɹ	abbrɛwɪarɛ
-	-	-	-	ɐbsizɐ̃ʊ̃	abkɪsɪonɛm
abdomen	abdomɛn	addɔme	abðomen	ɐbdɔmeɪŋ	abdomɛn
abdutʃe	-	-	abðuθiɾ	ɐbduziɹ	abdukɛrɛ
-	abdyksjɔ̃	abdutsione	abðukθjon	ɐbdusɐ̃ʊ̃	abdʊktɪonɛm
-	-	-	-	ɐbɨsɨdaɾjʊ	abɛkɛdarɪʊm
alunə	avlin	-	aβeʎana	ɐvɨlɐ̃	abɛllanam
-	abɛʁe	aberrare	aβeraɾ	ɐbɨʁaɹ	abɛrrarɛ
boɾɨ	aboʁe	aborrire	aβuriɾ	ɐvuʁiɹ	abhɔrrerɛ
-	-	abjettare	aβjektaɾ	ɐbʒɨtaɹ	abɪkɛrɛ
-	-	-	aβjekθjon	ɐbʒɨsɐ̃ʊ̃	abɪɛktɪonɛm
-	abi	abete	aβeto	ɐbɛtʊ	abɪetɛm
-	-	abidʒeato	aβixeato	ɐbiʒiatʊ	abɪɡɛatʊm
-	-	-	aβixeo	ɐbiʒiʊ	abɪɡɛʊm
-	-	-	-	ɐbʒudikaɹ	abɪudɪkarɛ
-	-	-	-	ɐbʒũŋʒiɹ	abɪʊŋɡɛrɛ
-	abʒyʁasjɔ̃	-	aβxuɾaθjon	ɐbʒuɾɐsɐ̃ʊ̃	abɪuratɪonɛm
-	-	-	-	ɐbʒuɾəɡaɹ	abɪurɡarɛ
-	abʒyʁe	abjurare	aβxuɾaɾ	ɐbʒuɾaɹ	abɪurarɛ
-	ablaktasjɔ̃	-	-	ɐblɐtɐsɐ̃ʊ̃	ablaktatɪonɛm
-	-	-	aβlaktaɾ	ɐblɐtaɹ	ablaktarɛ
-	-	ablakweatsione	aβlakeaθjon	ɐblɐkeɐsɐ̃ʊ̃	ablakwɛatɪonɛm
-	-	-	-	ɐblɐtoɹ	ablatorɛm
-	-	ableɡatsione	-	ɐblɨɡɐsɐ̃ʊ̃	ableɡatɪonɛm
-	-	-	-	ɐblɨɡaɹ	ableɡarɛ
-	-	-	-	ɐblɨpsiɐ	ablɛpsɪam
-	ablye	-	-	ɐbluiɹ	ablʊɛrɛ
-	-	-	-	ɐblutʊ	ablutorɛm
