true_form	predicted_form	edit_distance	normalized_edit_distance	correct_chars	consonant_errors	vowel_errors	phonotactic_valid	char_error_rate	feature_distance	normalized_feature_distance	exact_match
-abɪlɛm	-abla	3	0.42857142857142855	3	1	2	True	0.42857142857142855	2.4	0.06857142857142857	0
-akɛʊm	-asɛʊm	1	0.16666666666666666	4	1	0	True	0.16666666666666666	0.5	0.016666666666666666	0
-alɛm	-aja	3	0.6	1	2	1	True	0.6	1.9	0.076	0
-anʊm	-anʊm	0	0.0	4	0	0	True	0.0	0	0.0	1
-arkʰam	-aɾka	3	0.42857142857142855	3	3	0	True	0.42857142857142855	3.0	0.08571428571428572	0
-arkʰɪam	-arkia	3	0.375	4	2	1	True	0.375	2.0	0.05	0
-arɪʊm	-aeɾa	4	0.6666666666666666	1	2	2	True	0.6666666666666666	2.6	0.08666666666666667	0
-atɪkʊm	-atɣkʊm	1	0.14285714285714285	5	0	1	True	0.14285714285714285	1.0	0.02857142857142857	0
-atʊm	-at	2	0.4	2	1	1	True	0.4	2	0.08	0
-kidam	-sida	2	0.3333333333333333	3	2	0	True	0.3333333333333333	1.5	0.05	0
-kidɪʊm	-tʃidiʊm	3	0.375	4	1	1	True	0.42857142857142855	1.25	0.03571428571428571	0
-kɔlam	-kʊmla	3	0.5	3	1	1	True	0.5	2.2	0.07333333333333333	0
-ɛllʊm	-ɛll	2	0.3333333333333333	3	1	1	True	0.3333333333333333	2	0.06666666666666667	0
-ensɛm	-ɛnsɨ	3	0.5	2	1	2	True	0.5	1.6	0.05333333333333334	0
-ɛntʊm	-eɪŋtʊ	4	0.6666666666666666	2	2	1	True	0.6666666666666666	2.7	0.09000000000000001	0
-eskɛrɛ	-ɛsk	4	0.5714285714285714	2	1	3	True	0.5714285714285714	3.2	0.09142857142857143	0
-ɛttʊm	-eptʊm	2	0.3333333333333333	3	1	1	False	0.3333333333333333	0.44999999999999996	0.014999999999999998	0
-etʊm	-et	2	0.4	2	1	1	True	0.4	2	0.08	0
-ɛʊm	-ɛʊm	0	0.0	3	0	0	True	0.0	0	0.0	1
-fɪkɪʊm	-fitʃo	5	0.7142857142857143	1	2	3	True	0.7142857142857143	2.45	0.07	0
-formɛm	-fʊmɾmɨ	4	0.5714285714285714	3	1	2	True	0.5714285714285714	2.6	0.07428571428571429	0
-ɪbɪlɛm	-ivɛla	5	0.7142857142857143	1	2	3	True	0.7142857142857143	1.85	0.05285714285714286	0
-ɪkʊm	-ik	3	0.6	1	1	2	True	0.6	2.0	0.08	0
-ɪfɪkɪʊm	-ifitʃo	6	0.75	1	2	4	True	0.75	2.45	0.061250000000000006	0
-ɪfɪkarɛ	-ifliara	4	0.5	3	1	3	True	0.5	2.4	0.06	0
-ɪlɛm	-il	3	0.6	1	1	2	True	0.6	2.0	0.08	0
-ɪllʊm	-iʎʊm	3	0.5	2	2	1	True	0.5	2.0	0.06666666666666667	0
-inʊm	-in	2	0.4	2	1	1	True	0.4	2	0.08	0
-jonɛm	-iʊm	4	0.6666666666666666	1	2	2	True	0.6666666666666666	3.2	0.10666666666666667	0
-ɪskʊm	-wska	3	0.5	2	1	2	True	0.5	2.6	0.08666666666666667	0
-ɪssɪmʊm	-isimʊm	3	0.375	4	1	2	True	0.375	1.0	0.025	0
-ɪstam	-ista	2	0.3333333333333333	3	1	1	True	0.3333333333333333	1.0	0.03333333333333333	0
-ɪtatɛm	-itada	4	0.5714285714285714	2	2	2	True	0.5714285714285714	1.65	0.04714285714285714	0
-iten	-pta	3	0.6	1	1	2	False	0.6	2.4	0.096	0
