SPANISH	Selected_Proto4	score	PORTUGUESE	ITALIAN	FRENCH	Selected_Proto5	ROMANIAN	LATIN-CORRECT	Selected_Proto1	Selected_Proto2	Selected_Proto3	final_proposed_protoform
-aβle	-ablee	-3.8535852083673188	-avɛl	-abile	-abl	-abiee	-abil	-abɪlɛm	-abile	-abɛle	-ablle	-abla
-aθeo	-asʃɛo	-3.515360067876582	-asʊ	-atʃɛo	-as	-asʃoo	-	-akɛʊm	-aseɛo	-asʊɛo	-aseoo	-asɛʊm
-al	-ajɐ	-3.8543948980756024	-aʎɐ	-aʎa	-aj	-aʎe	-aje	-alɛm	-aje	-aʎa	-aja	-aja
-ano	-ɐʊo	-2.836554268074246	-ɐ̃ʊ̃	-ano	-		-an	-anʊm	-ano	-aʊo	-ɐno	-anʊm
-aɾka	-aɾkkɐ	-2.038046571856474	-aɾəkɐ	-arka	-	-aɾəaɐ	-	-arkʰam	-aɾkaɐ	-arkaɐ	-aɾəkɐ	-aɾka
-	-arkkaɐ	-2.1963877156524387	-ɐɾəkiɐ	-arkia	-	-arəiaɐ	-	-arkʰɪam	-arkiaɐ	-arkkiɐ	-arkiiɐ	-arkia
-eɾo	-eeoʊ	-4.393241615122817	-eɪɾʊ	-	-je	-eɾoʊ	-ar	-arɪʊm	-erɾʊ	-eeɾʊ	-eroʊ	-aeɾa
-aθɣo	-ateoo	-2.656840365271642	-	-atiko	-	-atioo	-atek	-atɪkʊm	-atiko	-ateko	-atɣko	-atɣkʊm
-ato		-3.481334476082394	-atʊ	-ato	-a		-at	-atʊm	-ato	-atʊ		-at
-θiða	-θida	-2.1434070875143005	-	-	-sid		-	-kidam	-sida	-θiða	-siða	-sida
-θiðjo	-tʃðdio	-2.2963877156524384	-	-tʃidio	-	-tʃijoo	-	-kidɪʊm	-tʃidio	-tʃidoo	-tʃijio	-tʃidiʊm
-kola		-1.4594379124341004	-	-	-		-	-kɔlam	-kola			-kʊmla
