ROMANIAN	FRENCH	ITALIAN	SPANISH	PORTUGUESE	LATIN-CORRECT	parsimony_proto1	parsimony_proto2	parsimony_proto3	parsimony_proto4	parsimony_proto5
-abil	-abl	-abile	-aβle	-avɛl	-abɪlɛm	-abile	-ablle	-abɛle	-abiee	-ablee
-	-as	-atʃɛo	-aθeo	-asʊ	-akɛʊm	-asʃɛo	-asʃoo	-aseɛo	-aseoo	-asʊɛo
-aje	-aj	-aʎa	-al	-aʎɐ	-alɛm	-aje	-aja	-ajɐ	-aʎe	-aʎa
-an	-	-ano	-ano	-ɐ̃ʊ̃	-anʊm	-ano	-aʊo	-ɐno	-ɐʊo	
-	-	-arka	-aɾka	-aɾəkɐ	-arkʰam	-aɾkaɐ	-aɾkkɐ	-aɾəaɐ	-arkaɐ	-aɾəkɐ
-	-	-arkia	-	-ɐɾəkiɐ	-arkʰɪam	-arkiaɐ	-arkiiɐ	-arkkaɐ	-arkkiɐ	-arəiaɐ
-ar	-je	-	-eɾo	-eɪɾʊ	-arɪʊm	-eroʊ	-erɾʊ	-eeoʊ	-eeɾʊ	-eɾoʊ
-atek	-	-atiko	-aθɣo	-	-atɪkʊm	-ateko	-atiko	-atɣko	-ateoo	-atioo
-at	-a	-ato	-ato	-atʊ	-atʊm	-ato	-atʊ			
-	-sid	-	-θiða	-	-kidam	-sida	-siða	-θida	-θiða	
-	-	-tʃidio	-θiðjo	-	-kidɪʊm	-tʃidio	-tʃidoo	-tʃijio	-tʃijoo	-tʃðdio
-	-	-	-kola	-	-kɔlam	-kola				
-jel	-o	-ɛllo	-elo	-ɛlʊ	-ɛllʊm	-ɛllo	-ɛloo	-ɛlʊo	-jllo	-ollo
-ez	-ɛ	-ɛnse	-ɛnse	-eɪŋsɨ	-ensɛm	-ɛnseɨ	-ɛnssɨ	-ɛnŋeɨ	-ɛzseɨ	-ɛɪseɨ
-	-	-	-	-eɪŋtʊ	-ɛntʊm	-eɪŋtʊ				
-	-ɛsk	-	-	-	-eskɛrɛ	-ɛsk				
-	-e	-etto	-ito	-	-ɛttʊm	-etto	-etoo	-itto	-itoo	
-et	-ɛ	-eto	-	-edʊ	-etʊm	-eto	-etʊ	-edo	-edʊ	-ɛto
-	-	-ɛo	-eo	-	-ɛʊm	-ɛo	-eo			
-	-	-fitʃo	-	-	-fɪkɪʊm	-fitʃo				
-	-	-forme	-foɾme	-fɔɾəmɨ	-formɛm	-foɾmeɨ	-foɾmmɨ	-foɾəeɨ	-formeɨ	-fɔɾmeɨ
-ibil	-ibl	-evole	-iβle	-ivɛl	-ɪbɪlɛm	-iblle	-ivlle	-ibile	-ibole	-ibɛle
-ik	-ik	-iko	-iko	-ikʊ	-ɪkʊm	-iko	-ikʊ			
-	-	-ifitʃo	-	-	-ɪfɪkɪʊm	-ifitʃo				
-	-ifje	-ifikare	-	-	-ɪfɪkarɛ	-ifjeare	-ifjkare	-ifieare	-ifikare	
-il	-il	-ile	-il	-	-ɪlɛm	-ile				
-	-	-	-iʎo	-	-ɪllʊm	-iʎo				
-in	-in	-ino	-ino	-iɲʊ	-inʊm	-ino	-inʊ	-iɲo	-iɲʊ	
-	-	-	-io	-	-jonɛm	-io				
-esk	-wa	-	-sko	-iʃkʊ	-ɪskʊm	-eskʊ	-eakʊ	-ekkʊ	-eʃkʊ	-wskʊ
-	-im	-issimo	-isimo	-isimʊ	-ɪssɪmʊm	-isimmo	-isimoo	-isimʊo	-isiimo	-isiioo
